number	months	amount
1	2010-01	1
2	2010-02	1
3	2010-03	1
4	2010-04	1
5	2010-05	1
6	2010-06	1
7	2010-07	1
8	2010-08	1
9	2010-09	1
10	2010-10	1
11	2010-11	1
12	2010-12	1
13	2011-01	1
14	2011-02	1
15	2011-03	1
16	2011-04	1
17	2011-05	1
18	2011-06	1
19	2011-07	1
20	2011-08	2
21	2011-09	2
22	2011-10	2
23	2011-11	2
24	2011-12	1
25	2012-01	1
26	2012-02	1
27	2012-03	1
28	2012-04	1
29	2012-05	1
30	2012-06	1
31	2012-07	1
32	2012-08	1
33	2012-09	1
34	2012-10	1
35	2012-11	1
36	2012-12	1
37	2013-01	1
38	2013-02	1
39	2013-03	1
40	2013-04	1
41	2013-05	1
42	2013-06	2
43	2013-07	2
44	2013-08	2
45	2013-09	2
46	2013-10	2
47	2013-11	1
48	2013-12	2
49	2014-01	3
50	2014-02	2
51	2014-03	2
52	2014-04	2
53	2014-05	2
54	2014-06	2
55	2014-07	2
56	2014-08	2
57	2014-09	2
58	2014-10	2
59	2014-11	2
60	2014-12	3
61	2015-01	3
62	2015-02	4
63	2015-03	5
64	2015-04	5
65	2015-05	5
66	2015-06	6
67	2015-07	5
68	2015-08	6
69	2015-09	5
70	2015-10	5
71	2015-11	6
72	2015-12	4
73	2016-01	4
74	2016-02	5
75	2016-03	5
76	2016-04	5
77	2016-05	7
78	2016-06	5
79	2016-07	8
80	2016-08	5
81	2016-09	4
82	2016-10	5
83	2016-11	10
84	2016-12	13
85	2017-01	14
86	2017-02	11
87	2017-03	9
88	2017-04	10
89	2017-05	8
90	2017-06	7
91	2017-07	7
92	2017-08	6
93	2017-09	9
94	2017-10	11
95	2017-11	12
96	2017-12	9
97	2018-01	9
98	2018-02	7
99	2018-03	10
100	2018-04	11
101	2018-05	25
102	2018-06	18
103	2018-07	22
104	2018-08	100
105	2018-09	42
106	2018-10	39
107	2018-11	25
108	2018-12	18
109	2019-01	21
110	2019-02	16
111	2019-03	31
112	2019-04	38
113	2019-05	38
114	2019-06	28
115	2019-07	31
116	2019-08	30
117	2019-09	24
118	2019-10	31
119	2019-11	16
120	2019-12	18
121	2020-01	17
122	2020-02	19
123	2020-03	24
124	2020-04	22
125	2020-05	23
126	2020-06	16
127	2020-07	15
128	2020-08	32
129	2020-09	25
130	2020-10	30
131	2020-11	45
